0,0,0,Shake,1.633587
0,0,0,Ctrl,1.379970
0,0,0,None,1.687944
0,0,2,Shake,1.941672
0,0,2,Ctrl,1.117630
0,0,2,None,2.431130
0,0,1,Shake,2.795651
0,0,1,Ctrl,1.253376
0,0,1,None,1.580384
0,0,3,Shake,1.449283
0,0,3,Ctrl,1.213025
0,0,3,None,2.041536
0,1,0,Shake,1.215075
0,1,0,Ctrl,1.248135
0,1,0,None,1.563218
0,1,2,Shake,1.876541
0,1,2,Ctrl,1.058052
0,1,2,None,1.182662
0,1,1,Shake,1.875610
0,1,1,Ctrl,1.034361
0,1,1,None,1.608977
0,1,3,Shake,2.620579
0,1,3,Ctrl,1.681437
0,1,3,None,1.576950
0,2,0,Shake,1.430409
0,2,0,Ctrl,1.353171
0,2,0,None,1.744739
0,2,2,Shake,1.352400
0,2,2,Ctrl,3.891035
0,2,2,None,2.223028
0,2,1,Shake,1.974222
0,2,1,Ctrl,1.258485
0,2,1,None,1.675938
0,2,3,Shake,1.973251
0,2,3,Ctrl,1.251638
0,2,3,None,1.155861
0,3,0,Shake,1.309747
0,3,0,Ctrl,1.129918
0,3,0,None,1.290327
0,3,2,Shake,1.475007
0,3,2,Ctrl,1.188919
0,3,2,None,1.646060
0,3,1,Shake,1.954170
0,3,1,Ctrl,1.329150
0,3,1,None,1.413054
0,3,3,Shake,1.842366
0,3,3,Ctrl,1.309952
0,3,3,None,1.520740
0,4,0,Shake,1.380002
0,4,0,Ctrl,2.209794
0,4,0,None,1.130455
0,4,2,Shake,2.751960
0,4,2,Ctrl,1.758359
0,4,2,None,1.358070
0,4,1,Shake,2.230956
0,4,1,Ctrl,1.094896
0,4,1,None,1.444650
0,4,3,Shake,2.155559
0,4,3,Ctrl,1.616011
0,4,3,None,2.192595
0,5,0,Shake,1.590027
0,5,0,Ctrl,1.324220
0,5,0,None,1.844241
0,5,2,Shake,1.890218
0,5,2,Ctrl,2.618511
0,5,2,None,1.731825
0,5,1,Shake,2.350007
0,5,1,Ctrl,1.145756
0,5,1,None,1.789378
0,5,3,Shake,2.271750
0,5,3,Ctrl,1.204717
0,5,3,None,2.617597
1,0,0,Shake,3.189978
1,0,0,Ctrl,1.647709
1,0,0,None,2.272732
1,0,2,Shake,2.178280
1,0,2,Ctrl,1.406595
1,0,2,None,1.094335
1,0,1,Shake,2.521450
1,0,1,Ctrl,1.158105
1,0,1,None,1.977018
1,0,3,Shake,2.710702
1,0,3,Ctrl,1.350320
1,0,3,None,1.802694
1,1,0,Shake,2.339207
1,1,0,Ctrl,1.065868
1,1,0,None,2.274069
1,1,2,Shake,2.486323
1,1,2,Ctrl,1.454882
1,1,2,None,2.047854
1,1,1,Shake,3.205465
1,1,1,Ctrl,1.874231
1,1,1,None,2.264767
1,1,3,Shake,4.730515
1,1,3,Ctrl,2.190134
1,1,3,None,2.668217
1,2,0,Shake,5.716570
1,2,0,Ctrl,1.815734
1,2,0,None,1.760410
1,2,2,Shake,3.127440
1,2,2,Ctrl,2.183480
1,2,2,None,2.432997
1,2,1,Shake,2.868076
1,2,1,Ctrl,1.205269
1,2,1,None,1.388516
1,2,3,Shake,3.541278
1,2,3,Ctrl,1.297916
1,2,3,None,2.127417
1,3,0,Shake,3.115820
1,3,0,Ctrl,1.625176
1,3,0,None,1.868684
1,3,2,Shake,2.511665
1,3,2,Ctrl,1.247012
1,3,2,None,1.823275
1,3,1,Shake,3.868026
1,3,1,Ctrl,1.237087
1,3,1,None,2.202039
1,3,3,Shake,2.679265
1,3,3,Ctrl,1.633814
1,3,3,None,1.989090
1,4,0,Shake,3.580382
1,4,0,Ctrl,1.069143
1,4,0,None,1.547881
1,4,2,Shake,4.016863
1,4,2,Ctrl,1.648825
1,4,2,None,1.773458
1,4,1,Shake,2.623549
1,4,1,Ctrl,1.307531
1,4,1,None,1.900239
1,4,3,Shake,4.392061
1,4,3,Ctrl,1.509066
1,4,3,None,1.858742
1,5,0,Shake,3.259417
1,5,0,Ctrl,1.418947
1,5,0,None,1.508260
1,5,2,Shake,5.483363
1,5,2,Ctrl,2.202468
1,5,2,None,1.798795
1,5,1,Shake,2.371840
1,5,1,Ctrl,2.405090
1,5,1,None,2.189153
1,5,3,Shake,3.881648
1,5,3,Ctrl,3.182704
1,5,3,None,2.372040
2,0,0,Shake,4.669747
2,0,0,Ctrl,2.386537
2,0,0,None,2.558064
2,0,2,Shake,2.235364
2,0,2,Ctrl,1.481451
2,0,2,None,1.876349
2,0,1,Shake,2.983493
2,0,1,Ctrl,3.368468
2,0,1,None,1.673117
2,0,3,Shake,3.484603
2,0,3,Ctrl,1.080917
2,0,3,None,1.350798
2,1,0,Shake,5.647990
2,1,0,Ctrl,1.858582
2,1,0,None,3.073280
2,1,2,Shake,3.138813
2,1,2,Ctrl,2.114931
2,1,2,None,1.637774
2,1,1,Shake,4.470393
2,1,1,Ctrl,4.719184
2,1,1,None,3.582926
2,1,3,Shake,4.073915
2,1,3,Ctrl,13.391353
2,1,3,None,2.920243
2,2,0,Shake,3.212970
2,2,0,Ctrl,2.270932
2,2,0,None,2.345005
2,2,2,Shake,4.301548
